id,company,year,scope,value,category,source,source_link,notes
876a0c83-62b7-445c-b1cb-74a8daca91e0,EVN AG,2016,2,,unclear,Ganzheitsbericht 2018/19,https://drive.google.com/file/d/19YImxoT1iMkMv3yXnTWgrSWy1cFtG8fg/view?usp=drive_link,
59757fcf-69ae-41a8-9173-e7bd33b36f30,AT & S AG,2017,2,,unclear,,,https://drive.google.com/file/d/1SmK-5ttFhMu5SHZifN0mZ6WI_Nfs27Yg/view?usp=drive_link
46a25294-f987-4a43-a69c-06e3a1a0f2a5,Verbund AG,2016,2,,unclear,integrierter Geschäftsbericht 2018,https://drive.google.com/file/d/1-jShgaeGgvs9cNMUZCT19Vj89GCb-9a-/view,
60c088ad-b299-4fea-854d-b57044d0c9ac,Österreichische Post AG,2017,1,,,Nachhaltigkeitsbericht 2018,https://drive.google.com/file/d/1XpW1D3V1nLOoVcwjXgCi8znjh8pdr99B/view?usp=drive_link,
944d7d2b-0790-4a92-b465-e4a2e7db8a70,STRABAG SE,2016,2,,market_based,Nichtfinanzieller Bericht 2019,https://drive.google.com/file/d/1R4rVYxjCYldzH1s9uSJPE_cn-keJwZwN/view?usp=drive_link,
6720101c-9e8b-4489-9880-ba5528a0fc85,Vienna Insurance Group AG,2016,2,,unclear,,,
f4390b8a-65f9-4dc8-b464-4fd558ebdc37,Raiffeisen Bank International AG,2016,3,27318,,Nachhaltigkeitsbericht 2017,https://drive.google.com/file/d/1ex5EWxaSt3Uh4Un3Egfg1y9yIrJEjP-2/view?usp=drive_link,
5e63d826-1a71-4d29-a64a-b328c141d155,Andritz AG,2017,2,,market_based,Jahresabschluss 2018,https://drive.google.com/file/d/1OXcRpQoK7-LTxMxfFyQpXqq4I_oVFxtT/view?usp=drive_link,
48fd11e1-397b-4396-896d-4fe0a5dfcf78,Verbund AG,2016,2,342000,location_based,integrierter Geschäftsbericht 2018,https://drive.google.com/file/d/1-jShgaeGgvs9cNMUZCT19Vj89GCb-9a-/view,
7849e0c4-dee7-4751-a4d3-a386b460fbbc,CA Immobilien Anlagen AG,2018,1,9558,,Nachhaltigkeitsbericht 2020,https://drive.google.com/file/d/1K0q3z8QlG1Twb7EWaD_hqEzS-eYy6gJ3/view?usp=drive_link,
0ac809f2-5a89-49a0-90a4-a873bdd4f1f8,Schoeller-Bleckmann Oilfield Equipment AG,2018,1,,,,,"seit 2017 gibt es CO2 Zahlen, nach welchem Standard oder welchen Scopes, ist unklar. vermutlich von der Größenordnung Scope 1 und 2 zusammen"
75527928-557a-4ec4-9ff1-58a5938043aa,Lenzing AG,2017,2,,location_based,Nachhaltigkeitsbericht 2023,https://drive.google.com/file/d/1p5Pk6oDNMQly8ejfqTgxEP5n6AHPc7si/view?usp=drive_link,
cbaefaad-c133-4427-b9df-696fb1b3496e,Wienerberger AG,2016,2,,market_based,,,
c72f05a9-1169-40fe-a704-533720bd2541,BAWAG Group AG,2016,2,6205,location_based,CSR Report 2018,https://drive.google.com/file/d/1311GW1mJRB6jx-F5TWmlHJL4TMQTQ57A/view?usp=drive_link,
95503e0f-ec26-42e1-bcfa-c4cfcf14c339,STRABAG SE,2016,2,,unclear,Nichtfinanzieller Bericht 2019,https://drive.google.com/file/d/1R4rVYxjCYldzH1s9uSJPE_cn-keJwZwN/view?usp=drive_link,
c848187d-9040-43d7-9c80-87e13c29cb01,STRABAG SE,2016,3,,,Nichtfinanzieller Bericht 2019,https://drive.google.com/file/d/1R4rVYxjCYldzH1s9uSJPE_cn-keJwZwN/view?usp=drive_link,
0167e182-0e54-4cfa-a452-19d6f50dbc16,Wienerberger AG,2017,2,,location_based,,,
62ca778e-e43e-48d4-9c15-1322f18813a0,AT & S AG,2017,2,,market_based,,,https://drive.google.com/file/d/1SmK-5ttFhMu5SHZifN0mZ6WI_Nfs27Yg/view?usp=drive_link
8e94ae1a-7f0d-4151-afa0-2009b0730010,CA Immobilien Anlagen AG,2018,2,,market_based,Nachhaltigkeitsbericht 2020,https://drive.google.com/file/d/1K0q3z8QlG1Twb7EWaD_hqEzS-eYy6gJ3/view?usp=drive_link,
9b5897ed-39d6-478a-85e9-bd32b26ca1ac,CA Immobilien Anlagen AG,2018,2,41387,location_based,Nachhaltigkeitsbericht 2020,https://drive.google.com/file/d/1K0q3z8QlG1Twb7EWaD_hqEzS-eYy6gJ3/view?usp=drive_link,
115e5f6a-68fe-44bc-91d3-c9a898b4b081,BAWAG Group AG,2017,2,6660,market_based,CSR Report 2019,https://drive.google.com/file/d/1LKiivHOoV7xGMvXsRWW4UV269cJD1jxm/view?usp=drive_link,
f8da8ec6-ee72-49fe-b370-7e18a5606417,Andritz AG,2017,2,,unclear,Jahresabschluss 2018,https://drive.google.com/file/d/1OXcRpQoK7-LTxMxfFyQpXqq4I_oVFxtT/view?usp=drive_link,
1686fe44-814d-4afc-947a-a10f1d6a0b55,CA Immobilien Anlagen AG,2019,2,,unclear,Konzernlagebericht 2022,https://drive.google.com/file/d/1UA0ubBYCo33_haDn8VYWURhPSLeSY5vu/view?usp=drive_link,
82a9cbab-7709-4f1c-b678-f96153cb4743,Lenzing AG,2017,1,1160000,,Nachhaltigkeitsbericht 2023,https://drive.google.com/file/d/1p5Pk6oDNMQly8ejfqTgxEP5n6AHPc7si/view?usp=drive_link,
7d87198e-999c-40ab-b0f6-47b1f2b8b1d1,OMV AG,2016,2,400000,market_based,Nachhaltigkeitsbericht 2020,https://drive.google.com/file/d/1AAhsFhq8PxhnS1RVCRzPjOF5Z_-4B7ZG/view?usp=drive_link,
35b4dd7c-ed13-45fc-ba4a-aa7bd4b6fd2b,BAWAG Group AG,2017,1,1223,,CSR Report 2019,https://drive.google.com/file/d/1LKiivHOoV7xGMvXsRWW4UV269cJD1jxm/view?usp=drive_link,
1c3cff28-abb8-478d-a128-526c523599ee,Uniqa Insurance Group AG,2017,2,3462,market_based,Nachhaltigkeitsbericht 2017,https://drive.google.com/file/d/1w1gPBXZGxKi_0hxOfi4gX9aHpwJZagA4/view?usp=drive_link,
a6b3fb75-bcde-4fee-819d-6b29df857201,OMV AG,2016,1,11000000,,Nachhaltigkeitsbericht 2020,https://drive.google.com/file/d/1AAhsFhq8PxhnS1RVCRzPjOF5Z_-4B7ZG/view?usp=drive_link,
