fid_1,GF,ARS,AGS,GEN,BEZ,BEM,NUTS,DEBKG_ID,netPotentialShare,buildingWithPVShare,MStRInstalledNetPower,SolarPotentialInMWhPerYear,NumberOfBuildingsWithPV,NumberOfBuildings
10663,4,160690061061,16069061,Masserberg,Gemeinde,--,DEG0E,DEBKGDL20000DY1L,2.12,1.93,359.83,16979.13,47,2431
10662,4,160690053053,16069053,Veilsdorf,Gemeinde,--,DEG0E,DEBKGDL20000DXAE,19.57,7.49,5316.18,27158.94,148,1975
10661,4,160690043043,16069043,Schleusingen,Stadt,--,DEG0E,DEBKGDL2000154RE,6.7,5.26,6966.25,103978.65,370,7033
10660,4,160690042042,16069042,Schleusegrund,Gemeinde,--,DEG0E,DEBKGDL20000DY1K,2.01,2.54,431.57,21431.62,57,2242
10659,4,160690024024,16069024,Hildburghausen,Stadt,--,DEG0E,DEBKGDL20000DXJU,12.6,7.32,11587.52,91989.84,353,4821
10658,4,160690012012,16069012,Eisfeld,Stadt,--,DEG0E,DEBKGDL200015MYK,7.06,3.98,5465.38,77416.16,167,4196
10657,4,160685050061,16068061,Witterda,Gemeinde,gemeinschaftsangehörig,DEG0D,DEBKGDL20000DX5K,10.81,7.56,885.12,8185.07,70,926
10656,4,160685050009,16068009,Elxleben,Gemeinde,gemeinschaftsangehörig,DEG0D,DEBKGDL20000DXI9,8.2,6.78,2165.61,26402.41,101,1489
10655,4,160685012056,16068056,Vogelsberg,Gemeinde,gemeinschaftsangehörig,DEG0D,DEBKGDL200015U5G,9.66,5.49,581.97,6025.14,34,619
10654,4,160685012055,16068055,Udestedt,Gemeinde,gemeinschaftsangehörig,DEG0D,DEBKGDL200015U5A,18.72,8.93,1429.19,7634.19,50,560
10653,4,160685012052,16068052,Sprötau,Gemeinde,gemeinschaftsangehörig,DEG0D,DEBKGDL200015U59,6.41,7.06,597.47,9316.88,25,354
10652,4,160685012048,16068048,Schloßvippach,Gemeinde,gemeinschaftsangehörig,DEG0D,DEBKGDL200015U57,5.4,7.12,768.24,14226.3,79,1109
10651,4,160685012039,16068039,Ollendorf,Gemeinde,gemeinschaftsangehörig,DEG0D,DEBKGDL200015U5D,5.38,6.75,230.21,4282.37,28,415
