fid_1,GF,ARS,AGS,GEN,BEZ,BEM,NUTS,DEBKG_ID,netPotentialShare,buildingWithPVShare,MStRInstalledNetPower,SolarPotentialInMWhPerYear,NumberOfBuildingsWithPV,NumberOfBuildings
8065,4,96775621193,9677193,Urspringen,Gemeinde,gemeinschaftsangehörig,DE26A,DEBKGDL20000E309,12.73,11.97,2192.55,17221.45,156,1303
8064,4,96775621181,9677181,Rothenfels,Stadt,gemeinschaftsangehörig,DE26A,DEBKGDL20000DZT8,17.55,19.08,896.87,5109.49,66,346
8063,4,96775621178,9677178,Roden,Gemeinde,gemeinschaftsangehörig,DE26A,DEBKGDL20000E30I,8.91,12.36,1350.55,15164.67,98,793
8062,4,96775621146,9677146,Karbach,Gemeinde,gemeinschaftsangehörig,DE26A,DEBKGDL20000E0GC,11.33,11.12,1989.35,17551.26,126,1133
8061,4,96775621135,9677135,Hafenlohr,Gemeinde,gemeinschaftsangehörig,DE26A,DEBKGDL20000E007,12.18,15.13,2241,18402.79,181,1196
8060,4,96775621126,9677126,Esselbach,Gemeinde,gemeinschaftsangehörig,DE26A,DEBKGDL20000DZEV,9.55,10.67,2597.69,27209.7,182,1706
8059,4,96775621125,9677125,Erlenbach b. Marktheidenfeld,Gemeinde,gemeinschaftsangehörig,DE26A,DEBKGDL20000E2ZC,10.62,16.59,2231.94,21010.49,192,1157
8058,4,96775621120,9677120,Bischbrunn,Gemeinde,gemeinschaftsangehörig,DE26A,DEBKGDL20000DZEW,7.35,7.64,1581.46,21507.06,137,1793
8057,4,96775621119,9677119,Birkenfeld,Gemeinde,gemeinschaftsangehörig,DE26A,DEBKGDL20000E30C,12.63,15.46,3152.94,24970.88,223,1442
8056,4,96775620182,9677182,Schollbrunn,Gemeinde,gemeinschaftsangehörig,DE26A,DEBKGDL20000E037,11.99,19.34,888.14,7405.26,88,455
8055,4,96775620151,9677151,Kreuzwertheim,Gemeinde,gemeinschaftsangehörig,DE26A,DEBKGDL20000E2JC,11.5,7.12,5185.88,45084.47,299,4202
8054,4,96775620137,9677137,Hasloch,Gemeinde,gemeinschaftsangehörig,DE26A,DEBKGDL20000E2JJ,8.73,8.94,1172.92,13440.59,92,1029
8053,4,96770177177,9677177,Rieneck,Stadt,--,DE26A,DEBKGDL20000E1ZM,12.97,16.38,1666.75,12855.36,144,879
8052,4,96770157157,9677157,Marktheidenfeld,Stadt,--,DE26A,DEBKGDL20000E0GA,6.18,12.14,8341.94,135039.49,547,4507
8051,4,96770155155,9677155,Lohr a. Main,Stadt,--,DE26A,DEBKGDL20000E008,8.63,13.19,11663.33,135183.56,872,6610
8050,4,96770154154,9677154,Triefenstein,Gemeinde,--,DE26A,DEBKGDL20000DWCV,11.14,12.11,5229.2,46950.01,346,2858
8049,4,96770148148,9677148,Karlstadt,Stadt,--,DE26A,DEBKGDL20000E2I2,9.56,12.29,14911.94,155904.31,1167,9493
8048,4,96770131131,9677131,Gemünden a. Main,Stadt,--,DE26A,DEBKGDL20000E0BY,10.87,9.49,10662.7,98098.25,590,6217
8047,4,96770129129,9677129,Frammersbach,Gemeinde,--,DE26A,DEBKGDL20000E26H,10.76,10.81,4452.77,41397.38,336,3109
8046,4,96770127127,9677127,Eußenheim,Gemeinde,--,DE26A,DEBKGDL20000DYQI,8.35,8.57,2922.62,34995.07,239,2788
8045,4,96770114114,9677114,Arnstein,Stadt,--,DE26A,DEBKGDL20000DVXX,9.86,13.82,9873.88,100155.3,781,5651
8044,4,96769455455,9676455,Hohe Wart,Gemeindefreies Gebiet,--,DE269,DEBKGDL20000DW1M,,,,20.62,,4
8043,4,96769452452,9676452,Forstwald,Gemeindefreies Gebiet,--,DE269,DEBKGDL20000E4WI,,,,,,
8042,4,96765632158,9676158,Stadtprozelten,Stadt,gemeinschaftsangehörig,DE269,DEBKGDL20000E30H,5.29,5.38,510.54,9649.44,66,1227
8041,4,96765632111,9676111,Altenbuch,Gemeinde,gemeinschaftsangehörig,DE269,DEBKGDL20000E026,10.24,12.22,1176.64,11485.61,113,925
8040,4,96765631151,9676151,Röllbach,Gemeinde,gemeinschaftsangehörig,DE269,DEBKGDL20000E3PW,11.36,8.48,2252.67,19838.28,149,1757
8039,4,96765631141,9676141,Mönchberg,Gemeinde,gemeinschaftsangehörig,DE269,DEBKGDL20000E3XI,9.26,10.7,2339.34,25266.44,208,1944
8038,4,96765630133,9676133,Kleinwallstadt,Gemeinde,gemeinschaftsangehörig,DE269,DEBKGDL20000E5TC,10.2,12.87,4144.17,40629.71,337,2618
8037,4,96765630128,9676128,Hausen,Gemeinde,gemeinschaftsangehörig,DE269,DEBKGDL20000E3PP,10.55,12.29,1384.78,13127.9,141,1147
8036,4,96765627153,9676153,Rüdenau,Gemeinde,gemeinschaftsangehörig,DE269,DEBKGDL20000E3XK,6.32,10.27,385.01,6094.7,45,438
8035,4,96765627135,9676135,Laudenbach,Gemeinde,gemeinschaftsangehörig,DE269,DEBKGDL20000E1PF,10,17.65,1157.8,11580.17,120,680
8034,4,96765627132,9676132,Kleinheubach,Gemeinde,gemeinschaftsangehörig,DE269,DEBKGDL20000E4WP,11.41,11.22,5455.2,47804.52,177,1577
8033,4,96765626143,9676143,Neunkirchen,Gemeinde,gemeinschaftsangehörig,DE269,DEBKGDL20000DWIH,12.95,7.01,2802.38,21637.56,184,2626
8032,4,96765626116,9676116,Bürgstadt,Gemeinde,gemeinschaftsangehörig,DE269,DEBKGDL20000E1PA,8.69,11.12,4533.76,52188.72,271,2437
8031,4,96760169169,9676169,Wörth a. Main,Stadt,--,DE269,DEBKGDL20000E0NC,7.66,8.43,2891.33,37744.93,205,2433
8030,4,96760165165,9676165,Weilbach,Gemeinde,--,DE269,DEBKGDL20000DWIF,7.47,11.79,2123.16,28418.7,162,1374
8029,4,96760160160,9676160,Sulzbach a. Main,Gemeinde,--,DE269,DEBKGDL20000E61B,7.92,15.01,4091.15,51674.39,428,2851
8028,4,96760156156,9676156,Schneeberg,Gemeinde,--,DE269,DEBKGDL20000E262,8.3,8.28,1117.43,13466.66,93,1123
8027,4,96760145145,9676145,Obernburg a. Main,Stadt,--,DE269,DEBKGDL20000E2XC,12.68,12.08,9288.85,73280.33,503,4165
8026,4,96760144144,9676144,Niedernberg,Gemeinde,--,DE269,DEBKGDL20000E3XJ,8.61,16.85,4648.4,53995.65,385,2285
8025,4,96760140140,9676140,Mömlingen,Gemeinde,--,DE269,DEBKGDL20000E2XD,10.42,14.55,3689.78,35405.37,349,2399
8024,4,96760139139,9676139,Miltenberg,Stadt,--,DE269,DEBKGDL20000DZV2,6.91,8.07,6442.82,93248.18,350,4337
8023,4,96760136136,9676136,Leidersbach,Gemeinde,--,DE269,DEBKGDL20000DW2P,8.46,12.42,3155.36,37311.73,331,2665
8022,4,96760134134,9676134,Klingenberg a. Main,Stadt,--,DE269,DEBKGDL20000E35W,8.87,7.74,4436.39,49988.55,285,3684
8021,4,96760131131,9676131,Kirchzell,Gemeinde,--,DE269,DEBKGDL20000E261,9.15,8.16,2599.41,28423.55,175,2145
8020,4,96760126126,9676126,Großwallstadt,Gemeinde,--,DE269,DEBKGDL20000E5TD,11.38,12.14,5104.37,44850.64,275,2265
8019,4,96760125125,9676125,Großheubach,Gemeinde,--,DE269,DEBKGDL20000E4WL,9.27,12.2,4937.81,53274.55,305,2500
8018,4,96760124124,9676124,Faulbach,Gemeinde,--,DE269,DEBKGDL20000E3WP,8.8,9.47,1987.39,22590.92,218,2303
8017,4,96760123123,9676123,Eschau,Gemeinde,--,DE269,DEBKGDL20000E3WO,7.02,8.26,2724.96,38843.61,236,2856
8016,4,96760122122,9676122,Erlenbach a. Main,Stadt,--,DE269,DEBKGDL20000E667,4.85,9.65,4190.25,86470.14,403,4175
8015,4,96760121121,9676121,Elsenfeld,Gemeinde,--,DE269,DEBKGDL20000E4WJ,9.87,12.99,7997.13,81024.77,479,3687
8014,4,96760119119,9676119,Eichenbühl,Gemeinde,--,DE269,DEBKGDL20000DWII,6.81,6.88,2085.92,30631.45,183,2660
8013,4,96760118118,9676118,Dorfprozelten,Gemeinde,--,DE269,DEBKGDL20000E3WV,10.97,8.05,2445.77,22296.96,201,2497
8012,4,96760117117,9676117,Collenberg,Gemeinde,--,DE269,DEBKGDL20000E3WQ,7.25,6.81,1741.42,24030.5,163,2395
8011,4,96760112112,9676112,Amorbach,Stadt,--,DE269,DEBKGDL20000E66B,6.27,9.16,2774.37,44264.26,198,2162
8010,4,96755619174,9675174,Volkach,Stadt,gemeinschaftsangehörig,DE268,DEBKGDL20000E4Y5,10.03,13.38,9253.13,92283.11,725,5420
8009,4,96755619169,9675169,Sommerach,Gemeinde,gemeinschaftsangehörig,DE268,DEBKGDL20000E2HV,11.46,22.36,1696.13,14795.69,165,738
8008,4,96755619155,9675155,Nordheim a. Main,Gemeinde,gemeinschaftsangehörig,DE268,DEBKGDL20000E1KA,9.15,19.12,1080.45,11813.18,87,455
8007,4,96755618167,9675167,Seinsheim,Gemeinde,gemeinschaftsangehörig,DE268,DEBKGDL20000DXQY,13.99,10.18,2248.98,16076.44,159,1562
8006,4,96755618166,9675166,Segnitz,Gemeinde,gemeinschaftsangehörig,DE268,DEBKGDL20000E1K6,10.28,8.73,803.34,7817.38,77,882
8005,4,96755618156,9675156,Obernbreit,Gemeinde,gemeinschaftsangehörig,DE268,DEBKGDL20000E4WD,14.38,22.71,2318.81,16127.62,211,929
8004,4,96755618150,9675150,Martinsheim,Gemeinde,gemeinschaftsangehörig,DE268,DEBKGDL20000DXLM,19.97,16.57,4155.83,20805.75,233,1406
8003,4,96755618149,9675149,Marktsteft,Stadt,gemeinschaftsangehörig,DE268,DEBKGDL20000E1K5,14.4,9.39,3568.6,24783.75,182,1939
8002,4,96755618147,9675147,Marktbreit,Stadt,gemeinschaftsangehörig,DE268,DEBKGDL20000E4WE,22.68,14.16,9673.52,42660.3,323,2281
8001,4,96755617170,9675170,Sulzfeld a. Main,Gemeinde,gemeinschaftsangehörig,DE268,DEBKGDL20000E1K4,10.1,6.53,1048.62,10386.79,74,1133
8000,4,96755617146,9675146,Mainstockheim,Gemeinde,gemeinschaftsangehörig,DE268,DEBKGDL20000E1KD,11.51,8.33,1581.48,13738.84,130,1560
7999,4,96755617114,9675114,Buchbrunn,Gemeinde,gemeinschaftsangehörig,DE268,DEBKGDL20000E1KE,11.59,10.71,1139.38,9826.96,105,980
7998,4,96755617113,9675113,Biebelried,Gemeinde,gemeinschaftsangehörig,DE268,DEBKGDL20000E5AG,11.79,12.01,2889.14,24500.82,142,1182
7997,4,96755617112,9675112,Albertshofen,Gemeinde,gemeinschaftsangehörig,DE268,DEBKGDL20000E1KB,15.99,10.64,3904.18,24410.93,208,1954
7996,4,96755616179,9675179,Willanzheim,Gemeinde,gemeinschaftsangehörig,DE268,DEBKGDL20000E2J0,15.89,13.27,4023.4,25317.25,281,2118
7995,4,96755616161,9675161,Rödelsee,Gemeinde,gemeinschaftsangehörig,DE268,DEBKGDL20000E1K7,25.86,33.83,5459.16,21108.34,275,813
7994,4,96755616148,9675148,Markt Einersheim,Gemeinde,gemeinschaftsangehörig,DE268,DEBKGDL20000E204,11.05,14.61,1465.96,13265.63,108,739
7993,4,96755616139,9675139,Iphofen,Stadt,gemeinschaftsangehörig,DE268,DEBKGDL20000E1K9,7.51,11.95,6778.92,90292.46,484,4051
7992,4,96755615177,9675177,Wiesenbronn,Gemeinde,gemeinschaftsangehörig,DE268,DEBKGDL20000E1KH,12.18,20.42,2028.6,16654.65,118,578
7991,4,96755615142,9675142,Kleinlangheim,Gemeinde,gemeinschaftsangehörig,DE268,DEBKGDL20000E0ZO,13.87,8.5,3610.59,26037.59,169,1989
7990,4,96755615131,9675131,Großlangheim,Gemeinde,gemeinschaftsangehörig,DE268,DEBKGDL20000E0OA,11.76,20.61,2155.14,18318.37,202,980
7989,4,96755614178,9675178,Wiesentheid,Gemeinde,gemeinschaftsangehörig,DE268,DEBKGDL20000E4D1,15.26,14.97,10274.42,67327.44,474,3166
7988,4,96755614162,9675162,Rüdenhausen,Gemeinde,gemeinschaftsangehörig,DE268,DEBKGDL20000E0ZR,11.36,8.94,1152.7,10146.21,80,895
7987,4,96755614116,9675116,Castell,Gemeinde,gemeinschaftsangehörig,DE268,DEBKGDL20000E5AA,12.65,9.07,1729.56,13673.3,97,1070
7986,4,96755614111,9675111,Abtswind,Gemeinde,gemeinschaftsangehörig,DE268,DEBKGDL20000E4A7,11.89,12.95,1973.52,16592.06,127,981
7985,4,96750165165,9675165,Schwarzach a. Main,Gemeinde,--,DE268,DEBKGDL20000E2HW,10.63,15.84,5586.02,52526.75,385,2430
7984,4,96750158158,9675158,Prichsenstadt,Stadt,--,DE268,DEBKGDL20000E4Y8,13.46,10.69,7885.84,58600.15,433,4051
7983,4,96750144144,9675144,Mainbernheim,Stadt,--,DE268,DEBKGDL20000E1MI,10.26,11.73,2270.33,22127.75,201,1714
7982,4,96750141141,9675141,Kitzingen,Stadt,--,DE268,DEBKGDL20000E6UC,11.96,10.09,24865.28,207915.34,1109,10989
7981,4,96750127127,9675127,Geiselwind,Gemeinde,--,DE268,DEBKGDL20000E1OM,9.14,11.46,4714.52,51566.24,305,2661
7980,4,96750117117,9675117,Dettelbach,Stadt,--,DE268,DEBKGDL20000E6UB,9.83,12.01,11217.9,114092.81,712,5928
7979,4,96745613219,9674219,Wonfurt,Gemeinde,gemeinschaftsangehörig,DE267,DEBKGDL20000E09R,13.36,12.21,3862.18,28916.39,238,1950
7978,4,96745613180,9674180,Theres,Gemeinde,gemeinschaftsangehörig,DE267,DEBKGDL20000E09S,9.56,15.12,2574.44,26940.22,239,1581
7977,4,96745613139,9674139,Gädheim,Gemeinde,gemeinschaftsangehörig,DE267,DEBKGDL20000E53Q,18.26,25.36,1940.06,10627.48,159,627
7976,4,96745612223,9674223,Ermershausen,Gemeinde,gemeinschaftsangehörig,DE267,DEBKGDL20000E46N,10.17,18.42,788.3,7749.07,77,418
7975,4,96745612153,9674153,Riedbach,Gemeinde,gemeinschaftsangehörig,DE267,DEBKGDL20000E3BG,11.14,16.54,2749.94,24679.82,260,1572
7974,4,96745612149,9674149,Hofheim i. UFr.,Stadt,gemeinschaftsangehörig,DE267,DEBKGDL20000E3BJ,10.96,14.72,8147.04,74301.73,591,4014
7973,4,96745612121,9674121,Burgpreppach,Gemeinde,gemeinschaftsangehörig,DE267,DEBKGDL20000E3BM,14.07,12.81,3132.11,22265.07,179,1397
7972,4,96745612120,9674120,Bundorf,Gemeinde,gemeinschaftsangehörig,DE267,DEBKGDL20000E2KQ,7.59,7.58,1502.39,19785.71,120,1584
7971,4,96745612111,9674111,Aidhausen,Gemeinde,gemeinschaftsangehörig,DE267,DEBKGDL20000E15Q,14.59,14.04,4621.31,31668,278,1980
7970,4,96745611190,9674190,Rentweinsdorf,Gemeinde,gemeinschaftsangehörig,DE267,DEBKGDL20000E4MF,16.66,20.65,3030.12,18187.79,221,1070
7969,4,96745611184,9674184,Pfarrweisach,Gemeinde,gemeinschaftsangehörig,DE267,DEBKGDL20000E3BK,15.06,15.68,3124.67,20745.09,225,1435
7968,4,96745611130,9674130,Ebern,Stadt,gemeinschaftsangehörig,DE267,DEBKGDL20000E2C1,15.6,18.12,15247.93,97717.06,827,4563
7967,4,96745610201,9674201,Stettfeld,Gemeinde,gemeinschaftsangehörig,DE267,DEBKGDL20000E3BZ,10.09,10.44,1263.4,12516.86,83,795
7966,4,96745610160,9674160,Kirchlauter,Gemeinde,gemeinschaftsangehörig,DE267,DEBKGDL20000E3BL,9.57,10.31,1486.56,15530.52,128,1241
7965,4,96745610129,9674129,Ebelsbach,Gemeinde,gemeinschaftsangehörig,DE267,DEBKGDL20000E3BY,8.13,11.09,3256.88,40052.78,276,2488
7964,4,96745610118,9674118,Breitbrunn,Gemeinde,gemeinschaftsangehörig,DE267,DEBKGDL20000E3BN,13.24,15.7,1495.13,11295.1,136,866
7963,4,96740221221,9674221,Zeil a. Main,Stadt,--,DE267,DEBKGDL20000E3BO,9.57,14.07,6229.32,65085.81,429,3050
7962,4,96740210210,9674210,Untermerzbach,Gemeinde,--,DE267,DEBKGDL20000E6D1,8.5,10.48,3200.58,37642.12,187,1784
7961,4,96740195195,9674195,Sand a. Main,Gemeinde,--,DE267,DEBKGDL20000E6CU,17.04,18.12,4991.66,29302.35,341,1882
7960,4,96740187187,9674187,Rauhenebrach,Gemeinde,--,DE267,DEBKGDL20000E1R7,10.75,10.67,4998.41,46502.85,276,2586
7959,4,96740171171,9674171,Maroldsweisach,Gemeinde,--,DE267,DEBKGDL20000DWLY,10.84,9.99,5837.51,53859.49,411,4113
7958,4,96740164164,9674164,Königsberg i. Bay.,Stadt,--,DE267,DEBKGDL20000DWVX,9.1,10.17,5756.56,63248.45,352,3460
7957,4,96740163163,9674163,Knetzgau,Gemeinde,--,DE267,DEBKGDL20000E6CQ,12.81,14.71,13530.09,105639.57,696,4731
7956,4,96740159159,9674159,Oberaurach,Gemeinde,--,DE267,DEBKGDL20000E1ZH,7.78,12.35,3447.22,44333.64,325,2631
7955,4,96740147147,9674147,Haßfurt,Stadt,--,DE267,DEBKGDL20000E09Q,8.49,16.98,12974.18,152800.8,1094,6443
7954,4,96740133133,9674133,Eltmann,Stadt,--,DE267,DEBKGDL20000DWTT,7.36,11.89,4854.63,65959.15,349,2936
7953,4,96739458458,9673458,Weigler,Gemeindefreies Gebiet,--,DE266,DEBKGDL20000E3YQ,,,,13.71,,2
7952,4,96739457457,9673457,Sulzfelder Forst,Gemeindefreies Gebiet,--,DE266,DEBKGDL20000DVWV,,,,4.07,,1
7951,4,96739456456,9673456,Steinacher Forst r.d. Saale,Gemeindefreies Gebiet,--,DE266,DEBKGDL20000E029,,,,0,,3
7950,4,96739455455,9673455,Mellrichstadter Forst,Gemeindefreies Gebiet,--,DE266,DEBKGDL20000E45U,,,,,,
7949,4,96739454454,9673454,Forst Schmalwasser-Süd,Gemeindefreies Gebiet,--,DE266,DEBKGDL20000DWY9,,,,,,
7948,4,96739453453,9673453,Forst Schmalwasser-Nord,Gemeindefreies Gebiet,--,DE266,DEBKGDL20000E2MT,,,,,,
7947,4,96739452452,9673452,Burgwallbacher Forst,Gemeindefreies Gebiet,--,DE266,DEBKGDL20000E0CD,,,,2.07,,4
7946,4,96739451451,9673451,Bundorfer Forst,Gemeindefreies Gebiet,--,DE266,DEBKGDL20000DZ75,,,,4.57,,2
7945,4,96735640184,9673184,Wülfershausen a.d. Saale,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000DWA2,13.13,13.72,2509.18,19106.45,188,1370
7944,4,96735640160,9673160,Saal a.d. Saale,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000E32U,12.68,17.02,2106.91,16622.12,186,1093
7943,4,96735640127,9673127,Großeibstadt,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000E32W,18.63,19.71,2843.62,15264.27,188,954
7942,4,96735639182,9673182,Willmars,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000E2N1,6.78,5.5,528.3,7791.16,40,727
7941,4,96735639167,9673167,Sondheim v.d. Rhön,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000E2MV,8.31,9.05,1367,16458.12,89,983
7940,4,96735639153,9673153,Ostheim v.d. Rhön,Stadt,gemeinschaftsangehörig,DE266,DEBKGDL20000E2CX,11.28,13.8,4086.83,36225.79,268,1942
7939,4,96735638183,9673183,Wollbach,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000E6TQ,13.73,23.24,1961.51,14291.22,191,822
7938,4,96735638175,9673175,Unsleben,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000E1X3,10.81,13.96,1614.08,14928.14,133,953
7937,4,96735638136,9673136,Hollstadt,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000E1VK,12.24,15.19,2861.44,23370,194,1277
7936,4,96735638133,9673133,Heustreu,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000DYWC,15.63,16.97,2271.34,14531.86,170,1002
7935,4,96735637147,9673147,Nordheim v.d. Rhön,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000E2EN,6.8,10.43,1015.88,14946.19,89,853
7934,4,96735637129,9673129,Hausen,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000DYGX,4.76,6.2,581.65,12221.81,45,726
7933,4,96735637123,9673123,Fladungen,Stadt,gemeinschaftsangehörig,DE266,DEBKGDL20000E2MZ,7.56,9.35,2434.22,32202.17,212,2267
7932,4,96735635186,9673186,Burglauer,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000E2D0,7.97,11.86,1404.84,17629.52,149,1256
7931,4,96735635171,9673171,Strahlungen,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000DX9E,9.1,10.72,982.68,10799.93,88,821
7930,4,96735635163,9673163,Schönau a.d. Brend,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000E2D2,9.1,15.71,1332.22,14647.36,123,783
7929,4,96735635161,9673161,Salz,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000E1LP,12.38,17.26,4421.07,35709.69,200,1159
7928,4,96735635156,9673156,Rödelmaier,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000DWA1,9.26,13.78,966.1,10437.29,101,733
7927,4,96735635146,9673146,Niederlauer,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000E2MU,15.15,17.07,2679.5,17684.34,156,914
7926,4,96735635135,9673135,Hohenroth,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000E0CB,12.36,19.64,4632.44,37482.6,350,1782
7925,4,96735634174,9673174,Trappstadt,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000DYIH,11.03,13.55,1827.33,16561.63,151,1114
7924,4,96735634173,9673173,Sulzfeld,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000DVWU,11.86,18.84,2615.11,22058.26,250,1327
7923,4,96735634172,9673172,Sulzdorf a.d. Lederhecke,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000E6TN,10.87,8.51,2866.06,26372.06,180,2115
7922,4,96735634134,9673134,Höchheim,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000E3BX,10.23,9.63,1683.08,16451.27,140,1454
7921,4,96735634131,9673131,Herbstadt,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000E3BP,16.78,10.45,2261.08,13473.1,103,986
7920,4,96735634126,9673126,Großbardorf,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000E32V,10.63,18.74,1699.38,15983.63,119,635
7919,4,96735634113,9673113,Aubstadt,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000E3BH,12.78,15.85,1306.14,10221.19,123,776
7918,4,96735633170,9673170,Stockheim,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000DYWE,11.31,11.43,1825.49,16136.85,107,936
7917,4,96735633151,9673151,Oberstreu,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000DYH0,8.71,10.78,1719.31,19750.69,174,1614
7916,4,96735633142,9673142,Mellrichstadt,Stadt,gemeinschaftsangehörig,DE266,DEBKGDL20000E2EE,8.28,9.4,6365.66,76925,402,4276
7915,4,96735633130,9673130,Hendungen,Gemeinde,gemeinschaftsangehörig,DE266,DEBKGDL20000E2CV,9.02,7.32,1228.84,13616.12,108,1475
7914,4,96730162162,9673162,Sandberg,Gemeinde,--,DE266,DEBKGDL20000DWY8,7.71,7.38,2041.2,26462.17,180,2439
7913,4,96730149149,9673149,Oberelsbach,Gemeinde,--,DE266,DEBKGDL20000DYOH,6.61,7.57,2605.04,39433.21,256,3381
7912,4,96730141141,9673141,Bad Königshofen i. Grabfeld,Stadt,--,DE266,DEBKGDL20000E2C4,9.91,13.24,8955.42,90327.24,612,4623
7911,4,96730117117,9673117,Bischofsheim a.d. Rhön,Stadt,--,DE266,DEBKGDL20000DYG3,7.51,7.16,4413.88,58763.24,346,4835
7910,4,96730116116,9673116,Bastheim,Gemeinde,--,DE266,DEBKGDL20000DYOG,9.58,11.7,3136.3,32733.6,253,2162
7909,4,96730114114,9673114,Bad Neustadt a.d. Saale,Stadt,--,DE266,DEBKGDL20000E1LQ,10.37,14.97,17607.76,169828.92,973,6498
7908,4,96729468468,9672468,Waldfensterer Forst,Gemeindefreies Gebiet,--,DE265,DEBKGDL20000DWLN,,,,0,,1
7907,4,96729466466,9672466,Roßbacher Forst,Gemeindefreies Gebiet,--,DE265,DEBKGDL20000E3TB,,,,4.78,,1
7906,4,96729465465,9672465,Römershager Forst-Ost,Gemeindefreies Gebiet,--,DE265,DEBKGDL20000E2CZ,,,,,,
7905,4,96729464464,9672464,Römershager Forst-Nord,Gemeindefreies Gebiet,--,DE265,DEBKGDL20000DX1T,,,,0,,1
7904,4,96729463463,9672463,Omerz u. Roter Berg,Gemeindefreies Gebiet,--,DE265,DEBKGDL20000E03Y,,,,7.38,,2
7903,4,96729462462,9672462,Neuwirtshauser Forst,Gemeindefreies Gebiet,--,DE265,DEBKGDL20000E1KX,,,,13.71,,6
7902,4,96729461461,9672461,Mottener Forst-Süd,Gemeindefreies Gebiet,--,DE265,DEBKGDL20000E2EL,,,,0.08,,1
7901,4,96729458458,9672458,Kälberberg,Gemeindefreies Gebiet,--,DE265,DEBKGDL20000E2EJ,,,,,,
7900,4,96729457457,9672457,Großer Auersberg,Gemeindefreies Gebiet,--,DE265,DEBKGDL20000DWPD,,,,1.5,,1
7899,4,96729456456,9672456,Geiersnest-West,Gemeindefreies Gebiet,--,DE265,DEBKGDL20000E1FA,,,,,,
7898,4,96729455455,9672455,Geiersnest-Ost,Gemeindefreies Gebiet,--,DE265,DEBKGDL20000E0OF,,,,14.06,,6
7897,4,96729454454,9672454,Forst Detter-Süd,Gemeindefreies Gebiet,--,DE265,DEBKGDL20000E03S,,,,5.94,,2
7896,4,96729451451,9672451,Dreistelzer Forst,Gemeindefreies Gebiet,--,DE265,DEBKGDL20000DZV9,,,,2.03,,2
7895,4,96725609157,9672157,Thundorf i. UFr.,Gemeinde,gemeinschaftsangehörig,DE265,DEBKGDL20000E2EH,10.68,11.82,1611.66,15084.13,136,1151
7894,4,96725609143,9672143,Rannungen,Gemeinde,gemeinschaftsangehörig,DE265,DEBKGDL20000E3BW,17.14,17.49,2138.18,12475.07,166,949
7893,4,96725609131,9672131,Maßbach,Gemeinde,gemeinschaftsangehörig,DE265,DEBKGDL20000E2MW,14.01,12.86,7068.69,50450.86,530,4120
7892,4,96725608155,9672155,Sulzthal,Gemeinde,gemeinschaftsangehörig,DE265,DEBKGDL20000DWKX,12.82,11.94,1423.98,11105.2,106,888
7891,4,96725608142,9672142,Ramsthal,Gemeinde,gemeinschaftsangehörig,DE265,DEBKGDL20000DXU6,12.38,24.51,1210.06,9777.31,137,559
7890,4,96725608122,9672122,Euerdorf,Gemeinde,gemeinschaftsangehörig,DE265,DEBKGDL20000DWL4,10.66,17.24,1795.93,16848.88,146,847
7889,4,96725608111,9672111,Aura a.d. Saale,Gemeinde,gemeinschaftsangehörig,DE265,DEBKGDL20000E3BI,13.68,24.32,1090.16,7971.49,108,444
7888,4,96725607124,9672124,Fuchsstadt,Gemeinde,gemeinschaftsangehörig,DE265,DEBKGDL20000E1DC,10.64,15.89,2346.7,22064.14,225,1416
7887,4,96725607121,9672121,Elfershausen,Gemeinde,gemeinschaftsangehörig,DE265,DEBKGDL20000E2C3,8.15,11.23,2640.51,32412.18,278,2476
7886,4,96725606149,9672149,Schondra,Gemeinde,gemeinschaftsangehörig,DE265,DEBKGDL20000E1KZ,13.99,17.54,4052.26,28971.03,220,1254
