ARS,AGS,GEN,BEZ,netPotentialShare,buildingWithPVShare,MStRInstalledNetPower,SolarPotentialInMWhPerYear,NumberOfBuildingsWithPV,NumberOfBuildings
150845053150,15084150,Gleina,Gemeinde,8.38,4.47,1639.76,19575.51,68,1520
150845053135,15084135,Freyburg (Unstrut),Stadt,5.44,3.76,2682.98,49320.13,146,3886
150845053025,15084025,Balgstädt,Gemeinde,18.62,6.61,3367,18084.5,81,1225
150845052565,15084565,Wetterzeube,Gemeinde,8.34,4.52,1644.83,19718.24,88,1947
150845052442,15084442,Schnaudertal,Gemeinde,16.45,4.84,2135.18,12980.8,62,1281
150845052275,15084275,Kretzschau,Gemeinde,13.55,9.1,4179.06,30849.13,137,1506
150845052207,15084207,Gutenborn,Gemeinde,12.48,6.31,2970.18,23800.14,129,2044
150845052115,15084115,Droyßig,Gemeinde,3.86,5.61,685.56,17746.39,89,1587
150845051282,15084282,Lanitz-Hassel-Tal,Gemeinde,21.25,11.68,3641.47,17134.81,125,1070
150845051246,15084246,Kaiserpfalz,Gemeinde,17.25,5.74,4787.78,27759.84,133,2317
150845051133,15084133,Finneland,Gemeinde,20.1,5.11,4083.64,20315.22,81,1585
150845051132,15084132,Finne,Gemeinde,23.3,3.1,4013.15,17226.08,62,1997
150845051125,15084125,Eckartsberga,Stadt,8.53,3.81,2213.9,25941.11,104,2727
150845051015,15084015,Bad Bibra,Stadt,11.54,7.39,4181.16,36230.43,202,2733
150845051012,15084012,An der Poststraße,Gemeinde,17.77,6.86,5140.77,28936.47,125,1822
150840590590,15084590,Zeitz,Stadt,7.53,7.38,14018.19,186222.46,659,8927
150840550550,15084550,Weißenfels,Stadt,6.03,6.71,16328.32,270838.27,1116,16625
150840490490,15084490,Teuchern,Stadt,4.57,5.12,3695.96,80871.81,310,6052
150840355355,15084355,Naumburg (Saale),Stadt,6.09,4.58,14198.03,233208.19,789,17236
150840315315,15084315,Lützen,Stadt,8.42,6.56,7983.82,94795.73,415,6328
150840235235,15084235,Hohenmölsen,Stadt,8.2,8.21,5962.64,72671.45,304,3701
150840130130,15084130,Elsteraue,Gemeinde,7,5.57,6433.55,91873.46,390,6998
150835054355,15083355,Kroppenstedt,Stadt,11.39,2.2,2722.2,23905.34,45,2048
150835054245,15083245,Gröningen,Stadt,13.46,3.13,6661.68,49510.16,142,4534
150835054035,15083035,Ausleben,Gemeinde,3.27,2.31,780.53,23901.05,41,1778
150835054025,15083025,Am Großen Bruch,Gemeinde,7.94,3.85,2378.76,29965.17,92,2387
150835053535,15083535,Wefensleben,Gemeinde,2.97,3.84,570.28,19173.56,70,1822
150835053515,15083515,Völpke,Gemeinde,2.69,2.74,529.48,19653.57,42,1534
150835053505,15083505,Ummendorf,Gemeinde,10.61,2.95,1307.45,12320.6,35,1186
150835053485,15083485,Sommersdorf,Gemeinde,2.7,2.29,551.4,20409.05,51,2226
150835053320,15083320,Hötensleben,Gemeinde,9.94,2.27,5161.82,51939.14,106,4660
150835053275,15083275,Harbke,Gemeinde,5.7,1.7,1162.62,20389.75,52,3060
150835053190,15083190,Eilsleben,Gemeinde,8.91,3.41,4891.19,54913.74,154,4514
150835052323,15083323,Ingersleben,Gemeinde,3.48,3.4,958.24,27539.66,63,1854
150835052230,15083230,Flechtingen,Gemeinde,6.88,3.21,3439.28,49956.77,110,3430
150835052205,15083205,Erxleben,Gemeinde,3.81,2.45,1871.02,49139.49,96,3925
150835052125,15083125,Calvörde,Gemeinde,8.38,4.41,7005.48,83605.88,185,4198
150835052115,15083115,Bülstringen,Gemeinde,24.54,4.09,7674.13,31275.33,54,1319
150835052060,15083060,Beendorf,Gemeinde,4.6,3.19,391.56,8516.16,29,908
150835052020,15083020,Altenhausen,Gemeinde,4.34,3.03,827.84,19096.44,47,1550
150835051580,15083580,Zielitz,Gemeinde,3.13,4.18,726.74,23207.15,66,1579
150835051557,15083557,Westheide,Gemeinde,6.53,3.6,1909.58,29241.56,91,2528
150835051440,15083440,Rogätz,Gemeinde,3.95,3.86,1053.04,26690.25,100,2593
150835051361,15083361,Loitsche-Heinrichsberg,Gemeinde,4.6,2.04,1116.13,24254.33,29,1423
150835051130,15083130,Colbitz,Gemeinde,5.03,3.11,2203.2,43801.95,152,4892
150835051120,15083120,Burgstall,Gemeinde,12.28,3.37,4742.12,38616.34,69,2050
150835051030,15083030,Angern,Gemeinde,14.01,4.96,6207.39,44322.18,154,3103
150830565565,15083565,Wolmirstedt,Stadt,7.26,4.8,7435.85,102487.66,402,8376
150830531531,15083531,Wanzleben-Börde,Stadt,5.88,3.28,12039.77,204785.22,534,16286
150830490490,15083490,Sülzetal,Gemeinde,18.72,4.36,34303.96,183227,477,10932
150830415415,15083415,Oschersleben (Bode),Stadt,8.61,3.29,18768.37,217918.22,607,18470
150830411411,15083411,Oebisfelde-Weferlingen,Stadt,5.27,3.74,10838.85,205531.4,554,14823
150830390390,15083390,Niedere Börde,Gemeinde,9.27,5.03,9645.37,104092.78,363,7216
150830298298,15083298,Hohe Börde,Gemeinde,6.25,4.92,13986.87,223743.46,920,18687
150830270270,15083270,Haldensleben,Stadt,4.79,3.23,12228.71,255306.66,490,15193
150830040040,15083040,Barleben,Gemeinde,12.97,5.69,13525.82,104279.87,472,8289
150820440440,15082440,Zörbig,Stadt,8.59,4.54,10994.13,127969.96,453,9969
150820430430,15082430,Zerbst/Anhalt,Stadt,11.71,6.83,36549.99,312041.37,982,14377
150820377377,15082377,Südliches Anhalt,Stadt,8.07,7.86,15085.44,187006.04,633,8057
150820340340,15082340,Sandersdorf-Brehna,Stadt,9.78,6.05,16461.06,168379.12,751,12411
150820301301,15082301,Raguhn-Jeßnitz,Stadt,6.09,3.68,5965.94,97955.67,405,11018
150820256256,15082256,Osternienburger Land,Gemeinde,11.14,7.93,13419.46,120449.76,472,5953
150820241241,15082241,Muldestausee,Gemeinde,7.52,4.7,9238.08,122844.35,605,12869
150820180180,15082180,Köthen (Anhalt),Stadt,9.61,7.5,18351.96,191016.45,574,7656
150820015015,15082015,Bitterfeld-Wolfen,Stadt,6.23,4.31,26857.5,431051.88,1050,24343
150820005005,15082005,Aken (Elbe),Stadt,4.3,4.53,3366.3,78301.81,321,7087
150815051545,15081545,Wallstawe,Gemeinde,21.38,6.53,5057.71,23652.05,75,1149
150815051440,15081440,Rohrberg,Gemeinde,13.79,5.53,2912.55,21127.97,56,1013
150815051290,15081290,Kuhfelde,Gemeinde,7.82,6.45,1763.86,22541.85,76,1178
150815051225,15081225,Jübar,Gemeinde,9.29,5.93,4197.49,45199.66,116,1955
150815051105,15081105,Diesdorf,Gemeinde,10.05,5.93,5073.5,50476.47,164,2766
150815051095,15081095,Dähre,Gemeinde,20.4,4.86,8957.03,43898.08,118,2428
150815051045,15081045,Beetzendorf,Gemeinde,8.21,9.09,4595.89,56010.94,228,2507
150815051026,15081026,Apenburg-Winterfeld,Gemeinde,9.8,5.98,3919.7,40005.34,143,2390
150810455455,15081455,Salzwedel,Stadt,10.79,7.9,29118.4,269983.34,1137,14390
150810280280,15081280,Klötze,Stadt,15.15,8.78,26942.1,177803.97,693,7891
150810240240,15081240,Kalbe (Milde),Stadt,15.91,6.73,24737.59,155501.61,612,9090
150810135135,15081135,Gardelegen,Stadt,13.79,7.73,46453.18,336754.44,1195,15452
150810030030,15081030,Arendsee (Altmark),Stadt,12.46,5.21,20500.86,164561.05,477,9162
150030000000,15003000,Magdeburg,Stadt,4.41,6.86,55302.38,1253964.33,3285,47860
150020000000,15002000,Halle (Saale),Stadt,4.98,6.19,51287.49,1029477.88,2562,41383
150010000000,15001000,Dessau-Roßlau,Stadt,6.73,6.55,39205.66,582281.19,2039,31152
147305601360,14730360,Zschepplin,Gemeinde,11,6.66,3988.86,36250,218,3272
147305601140,14730140,Jesewitz,Gemeinde,14.7,8.66,4456.75,30323.58,240,2771
147305311310,14730310,Torgau,Stadt,9.55,7.63,15541.89,162784.04,585,7663
147305311100,14730100,Dreiheide,Gemeinde,23.31,13.23,4361.82,18711.77,179,1353
147305306280,14730280,Schönwölkau,Gemeinde,11.69,6.85,4105.89,35110.68,180,2628
147305306150,14730150,Krostitz,Gemeinde,8.28,7.73,4370.69,52779.67,334,4320
147305303320,14730320,Trossin,Gemeinde,2.87,4.8,815.26,28387.65,79,1645
147305303120,14730120,Elsnig,Gemeinde,28.05,7.48,5658.1,20174,102,1364
147305303090,14730090,Dommitzsch,Stadt,10.97,7.99,2499.75,22796.89,131,1640
147305302030,14730030,Beilrode,Gemeinde,15.48,7.04,9337.34,60330.47,278,3947
147305302010,14730010,Arzberg,Gemeinde,10.04,5.07,3141.72,31291.97,112,2208
147300340340,14730340,Wiedemar,Gemeinde,8.25,3.85,7317.58,88737.62,354,9199
147300330330,14730330,Wermsdorf,Gemeinde,9.51,4.8,5197.66,54642.63,223,4650
147300300300,14730300,Taucha,Stadt,7,8.56,6451.12,92131.27,558,6519
147300270270,14730270,Schkeuditz,Stadt,7.11,5.02,15062.42,211829.98,637,12687
147300250250,14730250,Rackwitz,Gemeinde,35.89,5.89,17313.05,48240.2,254,4314
147300230230,14730230,Oschatz,Stadt,6.94,5.27,8291.88,119540.81,355,6741
147300210210,14730210,Naundorf,Gemeinde,11.56,5.83,2846.26,24616.21,114,1955
147300200200,14730200,Mügeln,Stadt,10.27,4.51,5553.56,54083.61,181,4015
147300190190,14730190,Mockrehna,Gemeinde,12.86,9.33,8436.64,65604.71,389,4171
147300180180,14730180,Löbnitz,Gemeinde,10.87,4.64,2960.66,27235.42,147,3165
147300170170,14730170,Liebschützberg,Gemeinde,18.2,5.73,7164.38,39354.33,186,3246
147300160160,14730160,Laußig,Gemeinde,11.28,4.56,7221.37,64009.85,204,4471
147300110110,14730110,Eilenburg,Stadt,6.6,6.28,7581.78,114875.01,421,6701
147300080080,14730080,Doberschütz,Gemeinde,15.95,6.54,8992.32,56390.64,329,5028
147300070070,14730070,Delitzsch,Stadt,14.12,9.51,22213.14,157295.07,837,8805
147300060060,14730060,Dahlen,Stadt,15.52,5.43,7737.64,49840.89,220,4049
147300050050,14730050,Cavertitz,Gemeinde,18.27,6.82,5837.2,31948.2,156,2288
147300045045,14730045,Belgern-Schildau,Stadt,11.03,6.56,8410.14,76266.41,390,5949
147300020020,14730020,Bad Düben,Stadt,11.57,4.07,8099.22,70017.96,298,7318
147295308350,14729350,Pegau,Stadt,11.03,5.54,5682.35,51508.12,296,5339
147295308100,14729100,Elstertrebnitz,Gemeinde,29.11,7.81,2054.78,7059.34,103,1318
147295307340,14729340,Parthenstein,Gemeinde,8.25,7.01,3223.16,39086.18,248,3540
147295307300,14729300,Naunhof,Stadt,13.92,9.6,7904.17,56794.75,409,4261
147295307020,14729020,Belgershain,Gemeinde,10.68,9.57,2575.8,24114.19,200,2089
147295301330,14729330,Otterwisch,Gemeinde,5.22,6.19,822.63,15757.31,74,1195
147295301010,14729010,Bad Lausick,Stadt,8.57,5,6408.23,74794.59,382,7647
147290430430,14729430,Zwenkau,Stadt,8.05,9.9,5740.75,71299.9,418,4221
147290410410,14729410,Wurzen,Stadt,6.34,6.22,7499.3,118369.11,350,5628
147290400400,14729400,Trebsen/Mulde,Stadt,10.14,7.59,4090.05,40325.76,224,2952
147290380380,14729380,Thallwitz,Gemeinde,6.9,6.23,2942.53,42660.68,226,3628
147290370370,14729370,Rötha,Stadt,6.93,8.61,3666.5,52872.64,309,3589
147290360360,14729360,Regis-Breitingen,Stadt,8.78,2.43,2212.04,25200.33,114,4698
147290320320,14729320,Neukieritzsch,Gemeinde,4.8,6.34,3434.73,71511.34,258,4068
147290270270,14729270,Markranstädt,Stadt,8.3,5.51,9763.49,117673.97,685,12443
147290260260,14729260,Markkleeberg,Stadt,7.63,8.48,8573.79,112405.72,798,9410
147290250250,14729250,Machern,Gemeinde,4.55,6.11,2558.66,56201,254,4154
147290245245,14729245,Lossatal,Gemeinde,9.69,4.71,6779.92,69933.26,308,6534
147290220220,14729220,Kitzscher,Stadt,8.32,5.87,3108.1,37373.38,170,2898
147290190190,14729190,Großpösna,Gemeinde,5.73,7.65,3100.72,54113.57,324,4233
147290170170,14729170,Groitzsch,Stadt,14.92,4.29,10093.4,67652.99,303,7067
147290160160,14729160,Grimma,Stadt,11.22,6.32,27806.79,247902.7,1288,20390
147290150150,14729150,Geithain,Stadt,8.35,4.48,6453.25,77261.58,292,6522
147290140140,14729140,Frohburg,Stadt,14.04,4.7,17023.36,121246.31,703,14948
147290080080,14729080,Colditz,Stadt,7.57,4.16,5915.53,78177.93,318,7652
147290070070,14729070,Brandis,Stadt,8.48,7.74,6170.98,72745.64,480,6203
147290060060,14729060,Borsdorf,Gemeinde,7,8.8,2852.19,40763.68,342,3886
147290050050,14729050,Borna,Stadt,9.65,5.46,11950.65,123827.34,514,9419
147290040040,14729040,Böhlen,Stadt,8.59,7.22,2427.97,28255.79,198,2744
147290030030,14729030,Bennewitz,Gemeinde,12.59,8.41,5623.06,44679.46,339,4033
147130000000,14713000,Leipzig,Stadt,4.53,6.04,100398.03,2214601.48,6067,100511
146285240400,14628400,Tharandt,Stadt,6.64,5.42,1920.26,28918.84,187,3448
146285240090,14628090,Dorfhain,Gemeinde,4.73,6.95,307.2,6494.19,46,662
146285230205,14628205,Klingenberg,Gemeinde,9.74,5.26,6459.31,66338.54,251,4770
146285230150,14628150,Hartmannsdorf-Reichenau,Gemeinde,28.58,7,3813.92,13346.8,58,829
146285229270,14628270,Pirna,Stadt,4.36,4.02,8700.15,199389.18,779,19364
146285229070,14628070,Dohma,Gemeinde,2.69,2.46,488.96,18172.91,63,2560
146285221370,14628370,Stadt Wehlen,Stadt,7.23,4.82,703.34,9734.8,78,1618
146285221240,14628240,Lohmen,Gemeinde,5.41,4.35,1125.94,20827.74,135,3103
146285219390,14628390,Struppen,Gemeinde,6.13,4.34,1201,19591.86,115,2648
146285219340,14628340,Rosenthal-Bielatal,Gemeinde,3.04,2.04,431.94,14211.57,54,2651
146285219310,14628310,Rathen,Gemeinde,2.17,1.43,65.22,3011.46,9,629
146285219210,14628210,Königstein/Sächs. Schw.,Stadt,2.92,2.01,696.81,23831.47,53,2641
146285219140,14628140,Gohrisch,Gemeinde,7.79,2.11,1192.17,15305.17,56,2659
146285209250,14628250,Müglitztal,Gemeinde,7.77,6.03,1330.16,17109.66,125,2074
146285209080,14628080,Dohna,Stadt,8.68,7.23,3988.02,45965.69,299,4134
146285204330,14628330,Reinhardtsdorf-Schöna,Gemeinde,11.84,2.15,1521.15,12848.56,44,2042
146285204320,14628320,Rathmannsdorf,Gemeinde,1.46,2.18,89.76,6142.47,17,781
146285204030,14628030,Bad Schandau,Stadt,2.59,2.08,683.96,26378.37,70,3372
146285202230,14628230,Liebstadt,Stadt,7.65,3.53,1011.2,13218.55,52,1475
146285202040,14628040,Bahretal,Gemeinde,4.33,3.78,959.74,22159.06,90,2384
146285202020,14628020,Bad Gottleuba-Berggießhübel,Stadt,7.7,2.53,4218.81,54758.58,167,6602
146285201170,14628170,Hermsdorf/Erzgeb.,Gemeinde,7.36,2.7,675.1,9167.72,19,703
146285201010,14628010,Altenberg,Stadt,7.61,2.33,4732.61,62158.57,182,7818
146280410410,14628410,Wilsdruff,Stadt,6.7,5.97,8950.75,133692.65,571,9560
146280380380,14628380,Stolpen,Stadt,7.6,4.91,3895.58,51284.5,216,4401
146280360360,14628360,Sebnitz,Stadt,5.38,2.62,3350.78,62239.73,185,7064
146280300300,14628300,Rabenau,Stadt,4.33,5.38,1169.57,26990.84,149,2771
146280260260,14628260,Neustadt in Sachsen,Stadt,4.58,5.28,4498.19,98240.62,266,5040
146280220220,14628220,Kreischa,Gemeinde,5.8,6.35,1681.53,28996.04,199,3133
146280190190,14628190,Hohnstein,Stadt,5.88,2.91,1818.04,30922.81,101,3474
146280160160,14628160,Heidenau,Stadt,4.15,5.2,3540.16,85372.96,195,3752
146280130130,14628130,Glashütte,Stadt,10.87,3.7,5723.52,52636.42,216,5838
146280110110,14628110,Freital,Stadt,4.62,4.99,8716.42,188494.27,852,17075
146280100100,14628100,Dürrröhrsdorf-Dittersbach,Gemeinde,8.89,7.01,3729.72,41968.47,208,2967
146280060060,14628060,Dippoldiswalde,Stadt,7.05,3.56,8224.92,116704.01,389,10942
146280050050,14628050,Bannewitz,Gemeinde,10.93,10.64,6099.9,55825.5,449,4220
146275238250,14627250,Schönfeld,Gemeinde,4.71,2.81,1171.71,24896.1,83,2950
146275238110,14627110,Lampertswalde,Gemeinde,5.31,3.61,3029.17,56998.14,136,3765
146275234340,14627340,Wülknitz,Gemeinde,15.12,3.95,4064.92,26892.29,94,2378
146275234240,14627240,Röderaue,Gemeinde,12.84,3.81,2644.6,20599.88,110,2885
146275225190,14627190,Nünchritz,Gemeinde,5.6,3.39,2182.96,38951.25,189,5579
146275225040,14627040,Glaubitz,Gemeinde,5.34,3.8,1478.24,27667.76,76,2001
146270360360,14627360,Zeithain,Gemeinde,6.94,5.48,5217.15,75200.38,259,4728
146270310310,14627310,Weinböhla,Gemeinde,6.89,7.31,3660.42,53143.64,415,5679
146270290290,14627290,Thiendorf,Gemeinde,4.04,3.94,2652.4,65583.99,170,4312
146270270270,14627270,Strehla,Stadt,18.66,5.89,5823.86,31207.01,167,2835
146270260260,14627260,Stauchitz,Gemeinde,18.54,6.21,4693,25317.54,155,2495
146270230230,14627230,Riesa,Stadt,5.96,5.12,11022.26,184828.53,571,11152
146270220220,14627220,Radeburg,Stadt,9.15,5.63,8338.77,91169.31,277,4922
146270210210,14627210,Radebeul,Stadt,3.23,6.08,5676.92,175887.03,697,11461
146270200200,14627200,Priestewitz,Gemeinde,14.37,5.18,5724.22,39838.02,178,3436
146270180180,14627180,Nossen,Stadt,8.07,5.34,10173.58,126005.96,385,7216
146270170170,14627170,Niederau,Gemeinde,11.73,7.01,4419.72,37687.49,195,2783
146270150150,14627150,Moritzburg,Gemeinde,6.11,6.43,3326.79,54456.22,355,5523
146270140140,14627140,Meißen,Stadt,5.4,4.48,7589.59,140632.48,393,8780
146270130130,14627130,Lommatzsch,Stadt,8.45,4.19,4532.7,53620.23,166,3961
146270100100,14627100,Klipphausen,Gemeinde,8.77,7.9,9763.8,111303.05,541,6847
146270080080,14627080,Käbschütztal,Gemeinde,9.28,6.57,2834.98,30551.17,129,1962
146270070070,14627070,Hirschstein,Gemeinde,16.39,5.24,4429.72,27023.23,123,2347
146270060060,14627060,Großenhain,Stadt,10.26,4.88,16869.71,164387.52,673,13798
146270050050,14627050,Gröditz,Stadt,5.31,2.86,3028.94,57027.53,196,6865
146270030030,14627030,Ebersbach,Gemeinde,15.12,6.22,9757.41,64532.68,244,3921
146270020020,14627020,Diera-Zehren,Gemeinde,13.51,4.33,4533.9,33566.38,152,3509
146270010010,14627010,Coswig,Stadt,5.98,8.29,7049.84,117953.3,482,5812
146265503520,14626520,Schöpstal,Gemeinde,9.68,6.14,2960.6,30583.25,102,1660
146265503330,14626330,Neißeaue,Gemeinde,12.6,4.67,2667.66,21164.46,65,1393
146265503230,14626230,Kodersdorf,Gemeinde,16.25,9.47,7464.5,45928,161,1700
146265503200,14626200,Horka,Gemeinde,12.91,5.94,2413.12,18686.14,88,1481
146265502580,14626580,Waldhufen,Gemeinde,11.62,5.16,3436.78,29588.64,123,2384
146265502440,14626440,Quitzdorf am See,Gemeinde,13.82,4.92,2180.88,15778.96,76,1546
146265502320,14626320,Mücka,Gemeinde,16.84,7.39,1645.16,9767.49,54,731
146265502190,14626190,Hohendubrau,Gemeinde,11.06,8.13,2317.7,20950.34,128,1575
146265242600,14626600,Weißwasser/O.L.,Stadt,6.63,4.99,5784.75,87189.06,263,5266
146265242590,14626590,Weißkeißel,Gemeinde,2.95,5.24,525.95,17814.82,76,1450
146265237560,14626560,Trebendorf,Gemeinde,4.78,12.93,458.68,9596.23,79,611
146265237490,14626490,Schleife,Gemeinde,4.92,8.17,1243.86,25297.71,177,2166
146265237120,14626120,Groß Düben,Gemeinde,7.21,3.65,974.13,13516.4,46,1260
146265235480,14626480,Rothenburg/O.L.,Stadt,11.39,4.31,5953.75,52280.98,147,3408
146265235160,14626160,Hähnichen,Gemeinde,16.86,6.78,2378.14,14101.34,75,1106
146265233460,14626460,Rietschen,Gemeinde,4.61,7.34,1008.31,21871.09,130,1772
146265233260,14626260,Kreba-Neudorf,Gemeinde,5.65,5.01,509.35,9020.97,37,738
146265232570,14626570,Vierkirchen,Gemeinde,11.53,7.7,2424.72,21037.44,112,1454
146265232450,14626450,Reichenbach/O.L.,Stadt,14.68,5.84,6512.18,44349.25,169,2895
146265232240,14626240,Königshain,Gemeinde,7.13,9.77,636.33,8921.06,79,809
146265228410,14626410,Oppach,Gemeinde,8.03,5.82,1499.5,18668.38,77,1323
146265228020,14626020,Beiersdorf,Gemeinde,10.9,6.64,1053.08,9665.55,43,648
146265227430,14626430,Oybin,Gemeinde,2.61,3.2,255.52,9799.2,43,1345
146265227400,14626400,Olbersdorf,Gemeinde,12.66,5.02,3557.37,28108.11,122,2430
146265227210,14626210,Jonsdorf,Gemeinde,2.53,2.47,239.66,9485.29,34,1379
146265227050,14626050,Bertsdorf-Hörnitz,Gemeinde,8.2,6.15,1296.84,15817.52,96,1561
146265224510,14626510,Schönbach,Gemeinde,2.96,5.09,475.66,16054.91,39,766
146265224350,14626350,Neusalza-Spremberg,Stadt,9.58,3.26,2440.76,25481.95,75,2298
146265224070,14626070,Dürrhennersdorf,Gemeinde,18.03,7.27,1949.99,10812.4,49,674
146265220470,14626470,Rosenbach,Gemeinde,5.55,6.06,884.08,15936.05,58,957
146265220290,14626290,Löbau,Stadt,7.36,6.39,8383.36,113962.36,413,6459
146265220270,14626270,Lawalde,Gemeinde,9.91,5.96,1353.34,13654.26,96,1610
146265220150,14626150,Großschweidnitz,Gemeinde,4.51,9.42,551.66,12239.81,58,616
146265214170,14626170,Hainewalde,Gemeinde,11.9,6.38,1608.74,13522.06,67,1050
146265214140,14626140,Großschönau,Gemeinde,4.28,3.04,1975.08,46147.66,135,4436
146265206500,14626500,Schönau-Berzdorf a.d. Eigen,Gemeinde,8.25,7.07,1393.2,16890.96,80,1132
146265206030,14626030,Bernstadt a.d. Eigen,Stadt,6.97,6.54,2365.51,33931.94,177,2707
146265203100,14626100,Gablenz,Gemeinde,3.72,4.04,456.08,12250.66,69,1706
146265203010,14626010,Bad Muskau,Stadt,7.02,2.8,1730.11,24636.63,77,2748
146260610610,14626610,Zittau,Stadt,5.69,4.01,10862.1,190942.79,499,12431
146260530530,14626530,Seifhennersdorf,Stadt,5.89,3.11,2149.95,36490.06,93,2995
146260420420,14626420,Ostritz,Stadt,5.79,3.72,1076.22,18583.89,53,1426
146260390390,14626390,Oderwitz,Gemeinde,6.22,5.1,2380.36,38278.03,138,2705
146260370370,14626370,Niesky,Stadt,4.47,2.81,3638.61,81384.8,289,10268
146260310310,14626310,Mittelherwigsdorf,Gemeinde,10.1,8.47,3453.49,34205.89,215,2538
146260300300,14626300,Markersdorf,Gemeinde,11.16,7.57,5635.11,50509.82,258,3409
146260280280,14626280,Leutersdorf,Gemeinde,6.78,6.89,1873.77,27622.08,139,2018
146260250250,14626250,Krauschwitz i.d. O.L.,Gemeinde,3.95,4.16,1395.11,35276.73,112,2693
146260245245,14626245,Kottmar,Gemeinde,8.1,6.21,4405.87,54370.93,254,4088
146260180180,14626180,Herrnhut,Stadt,10.15,7.18,5097.88,50207.19,248,3455
146260110110,14626110,Görlitz,Stadt,3.81,3.12,10305.78,270228.99,660,21168
146260085085,14626085,Ebersbach-Neugersdorf,Stadt,6.7,4.52,6061.28,90484.35,268,5923
146260060060,14626060,Boxberg/O.L.,Gemeinde,9.57,6.73,5879.43,61465.69,276,4101
146255501500,14625500,Ralbitz-Rosenthal,Gemeinde,17.72,9.22,2995.45,16902.91,107,1160
146255501470,14625470,Räckelwitz,Gemeinde,12.14,6.06,1293.33,10651.14,54,891
146255501440,14625440,Panschwitz-Kuckau,Gemeinde,14.78,6.22,2832.98,19168.31,105,1688
146255501350,14625350,Nebelschütz,Gemeinde,28,9.19,3229.69,11536.01,73,794
146255501080,14625080,Crostwitz,Gemeinde,9.16,9.22,774.57,8456.95,64,694
146255231580,14625580,Steina,Gemeinde,4.22,6.36,498.92,11833.76,72,1132
146255231450,14625450,Pulsnitz,Stadt,9.78,6.54,4240,43372.98,249,3808
146255231410,14625410,Ohorn,Gemeinde,3.55,5.79,822.32,23190.36,114,1968
146255231320,14625320,Lichtenberg,Gemeinde,6.41,6.15,1131.22,17658.59,67,1089
146255231180,14625180,Großnaundorf,Gemeinde,3.46,5.07,277.98,8028.68,35,690
146255223460,14625460,Puschwitz,Gemeinde,12.86,6.86,1692.3,13160.26,38,554
146255223360,14625360,Neschwitz,Gemeinde,13.2,7.5,3161.03,23948.12,169,2252
146255218370,14625370,Neukirch,Gemeinde,17.39,9.6,3596.84,20681.17,112,1167
146255218300,14625300,Laußnitz,Gemeinde,6.39,5.58,1660.26,25977.6,86,1540
146255218270,14625270,Königsbrück,Stadt,7.03,6.01,2197.62,31251.35,152,2528
146255212390,14625390,Obergurig,Gemeinde,11.23,7.51,2299.91,20473.53,106,1412
146255212190,14625190,Großpostwitz/O.L.,Gemeinde,9.08,9.46,2027.24,22331.7,135,1427
146255211170,14625170,Großharthau,Gemeinde,5.46,6.02,1297.57,23750.12,127,2111
146255211140,14625140,Frankenthal,Gemeinde,11.82,3.78,1147.87,9713.23,28,741
146255207510,14625510,Rammenau,Gemeinde,3.66,2.76,411.04,11227.26,45,1631
146255207040,14625040,Bischofswerda,Stadt,5.31,3.59,4726.16,89086.79,231,6427
146250640640,14625640,Wittichenau,Stadt,7.53,5.77,4230.2,56165.39,282,4884
146250630630,14625630,Wilthen,Stadt,4.01,4.01,1209.43,30188.63,111,2768
146250610610,14625610,Weißenberg,Stadt,12.06,4.79,4482.76,37174.06,142,2967
146250600600,14625600,Wachau,Gemeinde,5.61,6.96,2405.08,42838.81,174,2500
146250590590,14625590,Steinigtwolmsdorf,Gemeinde,3.2,3.35,672.37,21017.71,81,2416
146250570570,14625570,Spreetal,Gemeinde,2.63,4.23,873.46,33210.41,94,2224
146250560560,14625560,Sohland a.d. Spree,Gemeinde,5.11,5.38,2744.36,53722.77,205,3810
146250550550,14625550,Schwepnitz,Gemeinde,14.88,7.83,4622.26,31062.37,157,2005
146250530530,14625530,Schmölln-Putzkau,Gemeinde,4.54,3.64,1099.9,24252.88,98,2695
146250525525,14625525,Schirgiswalde-Kirschau,Stadt,6.54,4.69,3022.34,46222.71,204,4347
146250490490,14625490,Radibor,Gemeinde,12.48,6.06,5506.88,44130.95,162,2673
146250480480,14625480,Radeberg,Stadt,6.55,6.44,8130.06,124106,524,8138
146250430430,14625430,Ottendorf-Okrilla,Gemeinde,6.9,8.44,6695.09,97062.76,543,6434
146250420420,14625420,Oßling,Gemeinde,5.3,5.77,887.84,16747.88,94,1629
146250380380,14625380,Neukirch/Lausitz,Gemeinde,5.52,2.82,2127.3,38520.63,128,4541
146250340340,14625340,Malschwitz,Gemeinde,6.85,5.79,3983.48,58138.2,252,4350
146250330330,14625330,Lohsa,Gemeinde,12.91,6.32,5708.74,44234.43,261,4127
146250310310,14625310,Lauta,Stadt,6.79,2.18,3791.7,55819.44,213,9786
146250290290,14625290,Kubschütz,Gemeinde,7.05,6.09,1955.94,27732.86,135,2216
146250280280,14625280,Königswartha,Gemeinde,11.81,8.79,4011.75,33955.5,220,2503
146250250250,14625250,Kamenz,Stadt,10.18,5.92,14975.41,147131.25,483,8155
146250240240,14625240,Hoyerswerda,Stadt,9.86,6.38,17567.86,178148.74,625,9795
146250230230,14625230,Hochkirch,Gemeinde,10.16,6.01,2282.72,22472.28,125,2081
