ARS,AGS,GEN,BEZ,netPotentialShare,buildingWithPVShare,MStRInstalledNetPower,SolarPotentialInMWhPerYear,NumberOfBuildingsWithPV,NumberOfBuildings
160635051003,16063003,Bad Salzungen,Stadt,8.52,5.23,10635.74,124801.98,498,9515
160635006104,16063104,Amt Creuzburg,Stadt,2.28,2.73,1223.34,53645.74,102,3735
160635006058,16063058,Nazza,Gemeinde,2.29,2.45,131.96,5762.26,18,736
160635006049,16063049,Lauterbach,Gemeinde,4.06,3.88,223.39,5500.63,23,593
160635006046,16063046,Krauthausen,Gemeinde,6.35,5.91,1666.16,26221.22,71,1201
160635006037,16063037,Hallungen,Gemeinde,0.78,1.16,11.5,1465.23,2,172
160635006028,16063028,Frankenroda,Gemeinde,3.79,2.75,135.07,3567.58,11,400
160635006008,16063008,Bischofroda,Gemeinde,10.38,4.56,589.08,5677.08,31,680
160635006006,16063006,Berka v.d. Hainich,Gemeinde,4.43,3.75,237.01,5355.91,26,694
160630103103,16063103,Werra-Suhl-Tal,Stadt,3.14,1.81,2223.41,70727.75,108,5978
160630101101,16063101,Krayenberggemeinde,Gemeinde,10.84,6.2,4212.36,38851.88,179,2887
160630099099,16063099,Bad Liebenstein,Stadt,5.82,4.71,3375.22,57999.16,226,4799
160630098098,16063098,Hörselberg-Hainich,Gemeinde,8.09,3.96,8179.18,101058.44,282,7122
160630097097,16063097,Gerstungen,Gemeinde,5.93,3.25,5808.25,98013.82,297,9148
160630094094,16063094,Moorgrund,Gemeinde,7.59,2.38,2361.56,31094.24,81,3409
160630092092,16063092,Wutha-Farnroda,Gemeinde,6.83,4.96,2983.66,43695.79,200,4036
160630082082,16063082,Vacha,Stadt,5.99,4.01,2759.53,46078.12,186,4637
160630078078,16063078,Unterbreizbach,Gemeinde,8.32,6.39,2984.18,35875.32,183,2866
160630076076,16063076,Treffurt,Stadt,5.62,3.07,2949.8,52442.76,225,7330
160630004004,16063004,Barchfeld-Immelborn,Gemeinde,7.74,4.52,4102.88,53013,134,2967
160625054066,16062066,Bleicherode,Stadt,3.16,2.09,3191.84,101057.63,160,7669
160625054037,16062037,Niedergebra,Gemeinde,1.04,2.47,71.27,6826,15,607
160625054033,16062033,Lipprechterode,Gemeinde,5.07,3.07,252.57,4984.15,18,587
160625054026,16062026,Kleinfurra,Gemeinde,16.98,3.81,1657.89,9765.65,37,970
160625054024,16062024,Kehmstedt,Gemeinde,4.24,4.44,294.96,6953.85,22,496
160625054009,16062009,Großlohra,Gemeinde,3.61,3.05,213.2,5906.5,23,754
160625053064,16062064,Heringen/Helme,Stadt,12.01,4.36,5277.22,43930.03,152,3486
160625053054,16062054,Urbach,Gemeinde,5.35,3.19,532.92,9961.28,36,1128
160625053008,16062008,Görsbach,Gemeinde,3.87,3.67,347.6,8981.68,38,1035
160620065065,16062065,Harztor,Gemeinde,6.13,3.69,3279.42,53538.04,220,5957
160620063063,16062063,Werther,Gemeinde,11.66,3.92,4328.94,37116.7,116,2961
160620062062,16062062,Hohenstein,Gemeinde,13.91,3.86,3974.02,28564.07,79,2048
160620049049,16062049,Sollstedt,Gemeinde,7.74,3.94,1563.84,20192.23,70,1775
160620041041,16062041,Nordhausen,Stadt,6.49,3.65,20513.86,316272.48,770,21080
