year;state;co2_Mt_incl_LULUCF
1990;DE;1084
1991;DE;985
1992;DE;929
1993;DE;918
1994;DE;907
1995;DE;910
1996;DE;936
1997;DE;908
1998;DE;900
1999;DE;868
2000;DE;892
2001;DE;898
2002;DE;914
2003;DE;910
2004;DE;890
2005;DE;866
2006;DE;871
2007;DE;847
2008;DE;844
2009;DE;770
2010;DE;821
2011;DE;791
2012;DE;788
2013;DE;810
2014;DE;778
2015;DE;779
2016;DE;780
2017;DE;768
2018;DE;739
2019;DE;693
2020;DE;644
2021;DE;675
2022;DE;657
2023;DE;588
